video_id,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type,category,corpus,color
-zVlxfso-cE,-10.13,-0.0300000000000001,-1.14,-0.58,0.72,0.07,General narrative exposition,Sports,Y,2
0-CJ3lU19Cw,24.51,-5.28,-0.84,-2.47,-1.02,-0.37,Informational interaction,People & Blogs,Y,2
002R1oid3-I,23.09,-4.86,-4.89,-4.8,-0.64,-0.09,Informational interaction,People & Blogs,Y,2
00erABupOaA,13.21,-2.7,1.73,-0.63,-0.0499999999999999,1.43,Involved persuasion,Science & Technology,Y,2
01bQnOUZiVs,24.09,-2.95,-5.67,1.16,-1.51,2.64,Informational interaction,People & Blogs,Y,2
01UJMWJqCVc,30.64,-3.45,-6.99,-6.13,-0.59,-0.12,Informational interaction,Entertainment,Y,2
02yQFxAf_JM,8.14,-5.8,-3.01,1.68,-3.62,2.11,Involved persuasion,People & Blogs,Y,2
04Xj7MQbol8,39.19,-6.29,-3.8,4.82,-2.01,1.76,Intimate interpersonal interaction,Entertainment,Y,2
0ayNCjrD8Ro,16.15,-4.51,-2.29,7.08,0.44,1.81,Involved persuasion,Gaming,Y,2
0b-bdyImczM,13.51,-1.52,4.07,-1.87,-0.49,3.65,Involved persuasion,People & Blogs,Y,2
0ccaSJp-sxI,6.06,-0.36,-2.64,-0.9,-1.71,2.11,Involved persuasion,Howto & Style,Y,2
0cSxdxSrfik,14.81,-4.95,-3.57,0.26,-3.68,-0.66,Involved persuasion,Gaming,Y,2
0DJqQPjbYtk,26.54,-4.43,-2.96,0.78,-3.92,-1.38,Informational interaction,Gaming,Y,2
0dxFC09sX2I,38.16,-2.24,-5.03,17.81,-3.92,-1.21,Intimate interpersonal interaction,Music,Y,2
0d_UrYro6GA,21.53,-3.75,-1.78,0.49,-1.14,3.46,Informational interaction,People & Blogs,Y,2
0EsWZ6bT4wA,17.41,-3.42,-2.86,3.86,-3.29,4.08,Informational interaction,Travel & Events,Y,2
0G-ZmKp4xR4,30.13,-2.57,-5.33,2.05,-2.56,-0.17,Informational interaction,Gaming,Y,2
0gAhbovpm44,23.96,-0.74,-2.95,3.95,-3.33,-0.29,Informational interaction,Education,Y,2
0GF2bKODgKU,0.55,-2.56,-3.44,-0.6,-1.19,-0.86,Involved persuasion,Sports,Y,2
0GrpSeBKm1Y,13.59,-3.73,-1.32,3.92,-1.88,1.29,Involved persuasion,Gaming,Y,2
0hj_FqZNqRU,26.96,-4.08,-1.98,2.68,-0.45,0.78,Informational interaction,Gaming,Y,2
0i0vEDeofJo,22.3,-1.39,0.34,2.04,-1.7,1.28,Informational interaction,Sports,Y,2
0J7uuC_vVbo,11.99,-2.22,-0.96,3.68,-2.38,2.88,Involved persuasion,People & Blogs,Y,2
0jKb3prs4sg,26.98,-4.4,-5.36,1.14,-3.47,-0.38,Informational interaction,People & Blogs,Y,2
0jyQRchd_bI,-5.81,-0.83,4.17,7.62,-0.95,-1.88,General narrative exposition,Nonprofits & Activism,Y,2
0K2Vf8cT8As,19.32,-5.42,-5.64,0.16,-1.03,0.98,Informational interaction,People & Blogs,Y,2
0kBlqGSu4E0,14.21,-0.05,1.87,-0.23,-3.19,-0.21,Involved persuasion,Sports,Y,2
0kPJ4u96jfs,26.34,-4.04,-2.67,-0.0699999999999996,-0.71,3.36,Informational interaction,People & Blogs,Y,2
0KyFgM6cscA,30.63,2.36,-2.28,-2.52,-3.07,-0.74,Informational interaction,Entertainment,Y,2
0L9LqJTCwAU,13.37,-3.44,-6.09,3.89,-1.97,3.19,Involved persuasion,People & Blogs,Y,2
0lfvvhQF1XQ,17.24,-2.06,-0.43,1.09,-0.52,1.9,Involved persuasion,Entertainment,Y,2
0MiO9pOT97c,17.36,-5.38,-0.4,11.36,-3.29,0.48,Involved persuasion,Education,Y,2
0MXfHGMoBn0,21.05,-4.12,-3.76,2.44,-0.78,1.81,Informational interaction,Autos & Vehicles,Y,2
0O8AaCvITNU,37.52,-3.37,-1.58,2.75,-1.43,1.26,Informational interaction,Autos & Vehicles,Y,2
0phpuo_4mX8,14.95,-2.36,-2.05,2.36,-1.46,-0.31,Involved persuasion,Sports,Y,2
0Qj67-eeX6w,27.42,-6.62,-10.2,0.33,-3.12,-0.97,Informational interaction,Howto & Style,Y,2
0QO2jdinCoQ,17.8,-5.71,-3.05,2.88,-1.02,2.27,Informational interaction,Science & Technology,Y,2
0sz9wxCl08I,23.11,-4.54,-1.24,3.22,-2.3,0.65,Informational interaction,Entertainment,Y,2
0tOjr9OJxQI,1.15,-1.9,0.4,-4.63,-1.98,0.66,Involved persuasion,Sports,Y,2
0uumjqXx3KE,35.1,-4.12,-3.36,1.29,1.54,1.69,Informational interaction,People & Blogs,Y,2
0VWl_KjAX7U,10.57,-4.32,-1.22,5.74,2.04,-0.71,Involved persuasion,Gaming,Y,2
0WQDotxirvY,19.26,-2.86,-5.28,2.19,-2.5,2.1,Informational interaction,Entertainment,Y,2
0ZIXTmsQykQ,22.78,-5.01,-3.64,4.62,-2.89,-0.19,Informational interaction,Sports,Y,2
103pzqczPZ0,33.07,-4.63,-3.83,-0.51,-0.0600000000000001,0.88,Informational interaction,Howto & Style,Y,2
149xOM0SMDw,10.58,-5.79,-1.13,2.27,-0.62,1.27,Involved persuasion,Howto & Style,Y,2
1508CaVZVM4,-7.46,2.02,1.76,-2.25,4.58,-1.48,General narrative exposition,Entertainment,Y,2
16mWs3gNcwc,11.91,-5.15,1.38,-2.73,-1.36,-0.33,Involved persuasion,Travel & Events,Y,2
18eKFJ5n0Kk,5.21,-4.9,-1.51,5.38,1.16,1.79,Involved persuasion,People & Blogs,Y,2
18wi7x5HpDc,27.88,-3.28,-4.4,-1.72,-2.12,-1.12,Informational interaction,Comedy,Y,2
19Ma93psA_0,-17.45,0.21,11.73,-6.27,-1.86,-2.78,Learned exposition,Entertainment,Y,2
19vjzwWntdI,18.79,-5.04,-4.03,-0.0600000000000001,0.58,0.65,Informational interaction,People & Blogs,Y,2
1aaOUqIqRZk,9.43,-4.1,-2.5,-3.56,-3.47,1.69,Involved persuasion,Gaming,Y,2
1CjE7J4ig_4,5.53,0.37,-3.22,0.14,-2.95,2.08,Imaginative narrative,Entertainment,Y,2
1ehZWsXNzHI,15.51,0.72,-1.18,3.1,2.38,-1.14,Involved persuasion,People & Blogs,Y,2
1fvaBfKJbZU,26.14,-1.19,-1.7,3.78,-1.91,-0.33,Informational interaction,Gaming,Y,2
1HGeGZpzXfs,22.91,-4.88,-5.49,1.29,-2.42,1.36,Informational interaction,Gaming,Y,2
1icjg7xlUpM,23.78,-4.29,-2.68,4.25,-1.01,3.73,Informational interaction,People & Blogs,Y,2
1ivyoP4-HyI,19.95,-3.23,-2.21,0.57,-1.77,1.31,Informational interaction,Education,Y,2
1jXQ54gVWVQ,14.62,-4.31,-4.01,-0.39,-1.96,0.64,Involved persuasion,Entertainment,Y,2
1jZVxeVQuok,19.33,-4.52,-2.83,1.8,-1.47,2.46,Informational interaction,Education,Y,2
1LxK-ZQ4fd0,16.49,-3.53,-1.25,0.0099999999999999,-1.22,-0.49,Involved persuasion,Howto & Style,Y,2
1nCsMSQTdmE,4.27,-1.72,4.1,10.06,-3.27,0.6,Involved persuasion,Gaming,Y,2
1ntC3t8Zcwo,5.8,-3.75,-1.96,0.82,-2.08,2.29,Involved persuasion,Entertainment,Y,2
1NxlevenYAQ,26.17,-4.03,-3.09,-1.19,-1.06,0.88,Informational interaction,Film & Animation,Y,2
1OGDOLPtt9E,13.62,-5.62,-2.31,5.16,-0.68,2.21,Involved persuasion,People & Blogs,Y,2
1qDCYOOcKkY,23.95,-4.54,0.0499999999999998,-1.27,-0.84,-1.26,Informational interaction,Entertainment,Y,2
1QFYpK9QuI4,-1.61,-2.57,3.54,2.87,-1.36,3.28,Involved persuasion,News & Politics,Y,2
1r7hazAmwpk,21.59,-3.3,-2.53,0.14,-2.62,0.84,Informational interaction,Gaming,Y,2
1rY5HClrlvA,28.57,-3.9,-1.3,-0.83,-3.18,1.19,Informational interaction,Entertainment,Y,2
1S2LRe3WCKY,-14.61,-1.7,-1.48,-5.32,-2.88,0.88,General narrative exposition,Sports,Y,2
1vU6W1Olv94,-0.65,-2.51,-0.33,1.52,-0.66,0.09,Involved persuasion,People & Blogs,Y,2
1WYiEkjy3Ow,23.35,-1.91,-0.68,-0.5,-1.26,0.55,Informational interaction,Education,Y,2
1XP2oVMZwa4,29.56,-3.1,-3.31,0.49,-1.78,3.95,Informational interaction,Education,Y,2
1zqBFbtZF2Y,31.77,-3.97,-3.28,0.72,-3.85,-0.3,Informational interaction,Entertainment,Y,2
1_tova7idps,20.4,-5.16,-4.25,5.21,-1.51,2.98,Informational interaction,People & Blogs,Y,2
20E05NtSo3E,29.58,-4.58,-1.33,5.02,-1.36,1.99,Informational interaction,Howto & Style,Y,2
20yzyRVqpW8,26.13,-1.88,-2.81,-5.45,-2.08,-0.19,Informational interaction,People & Blogs,Y,2
22GOy7r4qFE,27.55,-3.93,-4.45,-0.65,-1.56,2.47,Informational interaction,Howto & Style,Y,2
23zmCU7Fd2I,11.2,-1.6,0.16,1.61,-2.12,1.78,Involved persuasion,Gaming,Y,2
258aST9QbGU,11.58,-5.68,-0.94,1.23,2.72,2.68,Involved persuasion,Education,Y,2
27enH6x-dsc,10.48,1.66,-1.02,0.42,-0.92,1.77,Involved persuasion,Education,Y,2
28E9dcLz7Ls,32.56,1.89,-2.76,-3.58,-1.18,0.45,Informational interaction,Entertainment,Y,2
2a3xn2jj45g,10.62,-4.23,2.47,-2.06,2.28,1.43,Involved persuasion,People & Blogs,Y,2
2AHdb7EEr44,24.21,-4.89,-1.8,-0.15,-1.81,-1.33,Informational interaction,Gaming,Y,2
2bbjerVslP0,30.77,-4.62,2.85,3.21,-1.0,1.78,Informational interaction,Education,Y,2
2BCcUcfb_v4,23.41,-4.8,-1.07,7.54,-1.06,0.12,Informational interaction,Travel & Events,Y,2
2COxnho3xFs,28.45,-2.04,-3.13,-3.74,-2.11,-0.38,Informational interaction,Entertainment,Y,2
2DtexSRk0Ys,-0.48,-1.23,0.7,-1.97,1.49,2.12,Involved persuasion,Autos & Vehicles,Y,2
2d_Vg3EL428,21.53,-1.89,-1.86,-4.21,-0.73,2.77,Informational interaction,Entertainment,Y,2
2EH4bnENYJ0,18.52,-0.35,-2.93,2.68,-3.92,-2.28,Informational interaction,Gaming,Y,2
2EMXj1FSYTw,20.18,-0.95,-1.73,3.0,0.32,0.91,Informational interaction,Education,Y,2
2eQvecOdg40,24.61,-5.3,-4.81,1.62,1.35,1.31,Informational interaction,Howto & Style,Y,2
2Ic3vmXygF4,-1.09,-1.61,-2.85,4.07,4.18,0.63,Involved persuasion,Autos & Vehicles,Y,2
2iF6GzhCz-Y,23.95,-4.16,0.13,-2.61,-1.92,0.78,Informational interaction,People & Blogs,Y,2
2IfC6tLf_Kw,11.2,-2.44,2.41,-0.9,1.62,2.51,Involved persuasion,Education,Y,2
2iUql8u7IXU,32.37,-4.73,-3.01,-0.94,-2.48,0.28,Informational interaction,Gaming,Y,2
2ixMYnnEhCU,30.03,-4.82,-1.46,2.05,0.21,2.02,Informational interaction,Howto & Style,Y,2
2J0ecaIg2EM,24.79,-2.32,-1.43,0.0200000000000002,-1.57,0.53,Informational interaction,Education,Y,2
2J6BT7TagmU,-5.91,-3.88,-2.33,-4.39,-1.98,-2.19,General narrative exposition,Sports,Y,2
2JbmYduXmNg,31.71,-3.0,-3.85,1.07,-2.02,-0.23,Informational interaction,Gaming,Y,2
2jmv4a9nZNk,19.19,-2.97,1.0,5.96,-1.55,-0.21,Informational interaction,Education,Y,2
2JRXRHDBkJE,0.8,-1.33,-4.42,-2.73,-2.13,-0.64,Situated reportage,Sports,Y,2
2jwN1TjN-_g,22.1,-1.88,-0.75,1.75,-2.55,-1.12,Informational interaction,Entertainment,Y,2
2k-VSwMlcAE,24.25,-3.39,-2.61,0.35,-2.23,0.14,Informational interaction,People & Blogs,Y,2
2KpOqSRsVfg,31.5,-2.42,-2.29,2.64,-3.13,-0.36,Informational interaction,Gaming,Y,2
2mtjU_4k8U4,23.18,-3.92,-0.81,0.99,-1.96,4.49,Informational interaction,Entertainment,Y,2
2mVlV4CrobA,11.54,-0.81,0.47,-2.15,-2.85,0.6,Involved persuasion,Sports,Y,2
2N2xz8hyhDA,25.07,-4.09,-4.74,3.71,-0.76,-0.0700000000000001,Informational interaction,Gaming,Y,2
2pWRR4P-ibM,30.93,-3.58,-1.54,-3.92,-0.28,0.12,Informational interaction,Education,Y,2
2qA9hr8tKgY,28.38,-0.71,-6.92,4.36,-3.27,4.08,Informational interaction,People & Blogs,Y,2
2QFT5rFisGM,-6.14,2.51,0.0099999999999996,1.57,2.01,0.97,General narrative exposition,People & Blogs,Y,2
2qpsysdvc-I,31.68,-5.21,-2.32,0.97,-1.78,-0.5,Informational interaction,Entertainment,Y,2
2qssdxDQFD8,39.2,-2.71,-5.03,-7.82,-3.92,-0.62,Intimate interpersonal interaction,Music,Y,2
2q_sG7r7m6I,7.92,-0.42,0.0899999999999999,0.34,-1.23,3.24,Involved persuasion,People & Blogs,Y,2
2sCiETXjaZQ,1.33,-3.2,-2.05,0.15,-3.92,1.19,Involved persuasion,Entertainment,Y,2
2SWVpdGI7Uc,14.4,-3.44,0.96,4.77,2.7,-0.83,Involved persuasion,Autos & Vehicles,Y,2
2t-V66vBPFY,16.65,-6.66,-3.74,5.98,-2.63,2.6,Involved persuasion,People & Blogs,Y,2
2tXvRO9aWC8,30.2,-2.26,-1.75,-3.66,-3.38,1.69,Informational interaction,Gaming,Y,2
2uDZpO_2Tm4,30.26,-2.9,-2.98,-2.93,-1.93,-1.12,Informational interaction,Gaming,Y,2
2uwTlVBebyo,34.98,-6.11,-7.2,-3.24,-3.92,-0.4,Informational interaction,People & Blogs,Y,2
2uwYHmCB6KQ,28.22,-3.64,-1.77,-0.46,-1.34,-1.98,Informational interaction,Gaming,Y,2
2uXyOQR1-iA,16.65,-0.96,0.14,-0.38,-0.42,-0.47,Involved persuasion,Sports,Y,2
2vPBZKZXGjo,-3.99,-2.66,-2.19,-4.96,-1.73,-0.14,General narrative exposition,Sports,Y,2
2vVX3ukY7K8,8.5,-1.5,-5.15,-4.32,-2.8,-1.31,Imaginative narrative,Sports,Y,2
2w6Yo-citrg,22.06,-3.79,-2.57,2.04,-0.59,0.05,Informational interaction,Entertainment,Y,2
2We1Lmq-_y0,19.92,-4.4,3.41,-2.15,-0.97,-2.43,Informational interaction,Howto & Style,Y,2
2XljsoT2wUg,26.1,-3.1,-3.47,5.57,0.98,1.41,Informational interaction,Education,Y,2
2XVCPdPAUbA,14.52,-2.59,0.87,-1.24,-2.46,1.65,Involved persuasion,News & Politics,Y,2
2z-jkiAXaYw,37.66,-7.38,-0.55,3.97,-3.92,0.12,Informational interaction,Education,Y,2
2zh8YmJYjrU,24.73,-1.35,-2.66,2.15,-3.92,-2.35,Informational interaction,People & Blogs,Y,2
2zYmQbryvKU,8.91,-1.78,-1.32,5.39,1.44,2.82,Involved persuasion,Science & Technology,Y,2
2zzhwyir5kE,10.14,-3.05,0.529999999999999,-1.56,-2.45,-0.0399999999999998,Involved persuasion,Entertainment,Y,2
3-ptCkWUkxk,25.51,-2.76,-0.03,5.81,-0.18,1.11,Informational interaction,People & Blogs,Y,2
3-zmU6upbUo,18.46,-4.86,-3.01,2.15,-0.57,2.88,Informational interaction,Howto & Style,Y,2
30ROGEBPICM,11.34,0.01,-0.28,0.72,-0.92,-0.42,Involved persuasion,People & Blogs,Y,2
326T2U36dIE,39.71,-2.08,-1.71,3.81,-3.42,-1.43,Intimate interpersonal interaction,Entertainment,Y,2
346V6tQMyW4,6.49,-2.88,3.43,1.98,-0.43,0.97,Involved persuasion,Music,Y,2
3A9sQE16EfE,1.08,1.17,-1.01,-0.74,0.2,-1.47,Involved persuasion,Entertainment,Y,2
3AKZzWuvk8A,15.7,-1.67,-2.07,0.79,-0.83,0.89,Involved persuasion,Sports,Y,2
3b9xMBGA7TY,25.85,-0.36,-2.35,-5.0,-3.29,-1.65,Informational interaction,Entertainment,Y,2
3CIq4m7gvu4,-3.81,-0.52,4.08,-2.01,-0.77,1.59,General narrative exposition,News & Politics,Y,2
3eKILRg10Yc,34.61,-1.51,-0.4,-2.64,-2.87,0.19,Informational interaction,Sports,Y,2
3fNVK9mo-mY,-3.64,-1.74,-3.16,-6.62,-1.56,0.24,General narrative exposition,Sports,Y,2
3G-0-_cmJfI,33.4,-0.98,-2.72,-4.02,-3.92,-0.21,Informational interaction,Sports,Y,2
3gEbKiSezuA,21.96,-3.58,-6.69,6.69,-2.17,2.65,Informational interaction,Education,Y,2
3j4o9FA6zY8,16.67,-5.8,0.0100000000000002,1.45,-2.95,-2.47,Involved persuasion,People & Blogs,Y,2
3K3YHYope9E,17.8,-5.86,-3.78,2.47,-0.64,2.31,Informational interaction,Howto & Style,Y,2
3lanDUTbqB8,-0.7,-4.24,-5.42,-2.39,-2.47,-1.06,Situated reportage,Sports,Y,2
3LFdaNGM3Fw,23.66,-5.83,-5.79,0.61,-2.62,0.24,Informational interaction,People & Blogs,Y,2
3m5M6KQX2Uo,18.12,-3.54,-1.02,-0.75,-2.39,-1.26,Informational interaction,Howto & Style,Y,2
3nRyZRteC1I,6.86,-6.1,1.48,0.82,-0.72,5.42,Involved persuasion,Education,Y,2
3OU33tvFBGE,7.34,-3.49,-0.21,-4.79,-2.22,0.43,Involved persuasion,News & Politics,Y,2
3t3TedG-ovs,-10.07,-1.96,-0.8,1.12,3.04,-1.91,General narrative exposition,Entertainment,Y,2
3tFSuPsUeMc,17.26,-4.11,-3.67,-1.44,-2.44,1.1,Informational interaction,Entertainment,Y,2
3UM8q1pcRwU,18.1,2.91,-0.79,-0.85,-1.34,1.5,Informational interaction,Sports,Y,2
3vs_n783I-M,12.9,-2.88,-4.51,-1.4,-0.83,2.4,Involved persuasion,Howto & Style,Y,2
3wppjq8FQYI,-6.84,-0.99,0.43,-1.89,0.82,-0.24,General narrative exposition,People & Blogs,Y,2
3xWeWHeSbbI,26.17,-3.91,-1.01,-3.36,0.0500000000000003,6.34,Informational interaction,Howto & Style,Y,2
3_nb_DyyeeU,-5.22,-3.06,-4.85,-4.75,-1.61,-0.64,General narrative exposition,Sports,Y,2
417WfNmPhos,-9.01,-4.31,-2.13,-4.54,-0.94,-0.83,General narrative exposition,Sports,Y,2
41u-HR4yAQA,19.15,-2.5,-3.45,5.73,-0.14,0.67,Informational interaction,People & Blogs,Y,2
41YtRMOJkZg,18.5,-0.73,-0.2,0.74,1.33,1.76,Informational interaction,Howto & Style,Y,2
42hMgWn3t3I,23.08,-4.1,-2.43,-0.0100000000000001,-2.24,1.69,Informational interaction,People & Blogs,Y,2
44GYtR9_AT4,10.79,-5.13,-0.92,-2.38,-1.34,3.29,Involved persuasion,Autos & Vehicles,Y,2
46E7yKim5xU,27.66,-4.7,-5.15,2.84,-1.77,1.58,Informational interaction,Gaming,Y,2
46olfYnWJEQ,20.15,-5.81,-4.65,9.53,-1.2,-0.53,Informational interaction,People & Blogs,Y,2
47ZPwYjlF60,14.72,-5.28,-0.53,0.0499999999999999,-0.58,3.21,Involved persuasion,People & Blogs,Y,2
4BrNuhXjus4,25.64,-5.28,-2.56,1.16,-0.72,4.17,Informational interaction,Science & Technology,Y,2
4bZhSORGECA,19.21,-5.28,-0.81,1.44,-3.92,-3.5,Informational interaction,Entertainment,Y,2
4cNUgwG8HYk,7.01,-3.51,-5.41,2.39,-1.85,1.86,Involved persuasion,Education,Y,2
4d-4Eoepgnw,49.24,-0.5,-3.45,-7.01,-2.2,-0.78,Intimate interpersonal interaction,People & Blogs,Y,2
4DgmUIH4QkQ,19.27,0.87,0.87,-5.5,6.54,-0.26,Informational interaction,Education,Y,2
4Dvu1r11-Q8,21.83,-3.06,2.7,0.25,-2.47,1.93,Informational interaction,Entertainment,Y,2
4EoGhhqbZCM,15.25,-3.1,-3.42,-0.82,-2.05,0.43,Involved persuasion,Gaming,Y,2
4Fe2WfBvqQ4,41.92,-6.82,-0.99,-2.22,-2.83,-0.95,Intimate interpersonal interaction,People & Blogs,Y,2
4FGsycqIKM8,9.17,-4.2,-4.93,0.14,-1.79,0.0,Involved persuasion,Entertainment,Y,2
4FMDqirfXIs,13.45,-3.92,-0.42,-2.41,-3.25,1.2,Involved persuasion,Education,Y,2
4fR9_3bTqJQ,3.29,-4.9,-0.96,-0.72,-0.84,0.0900000000000001,Involved persuasion,Entertainment,Y,2
4FYzPhsTk6s,20.51,-0.360000000000001,-3.06,5.72,-0.6,0.23,Informational interaction,Sports,Y,2
4g2R-kn_-0c,4.36,-3.32,-3.95,-3.22,-2.23,-0.4,Involved persuasion,Sports,Y,2
4GGyQNMPDkk,16.77,3.15,-2.96,-3.79,-1.81,-2.12,Imaginative narrative,Entertainment,Y,2
4HKXwm494Uk,14.59,-1.85,-0.69,2.36,-1.69,1.15,Involved persuasion,News & Politics,Y,2
4IMDrrXsir4,18.49,-5.42,-2.87,4.74,-0.49,1.13,Informational interaction,People & Blogs,Y,2
4I_MEfvBWIQ,4.29,-0.68,3.0,8.16,1.17,1.43,Involved persuasion,News & Politics,Y,2
4JeLdFrgkrw,-0.0599999999999999,-1.23,3.3,4.34,0.13,0.5,Involved persuasion,Education,Y,2
4JE_N1Tb_VY,14.05,-4.29,-6.62,-2.84,-2.27,1.57,Involved persuasion,People & Blogs,Y,2
4JVntWOiHtw,17.84,-2.25,-3.02,-0.25,-3.03,4.5,Informational interaction,Sports,Y,2
4JX0h8FbSaw,22.93,-3.3,-2.96,-0.49,-2.99,0.14,Informational interaction,Film & Animation,Y,2
4KcNyFcg2kk,18.51,-4.63,-1.33,2.37,1.29,2.04,Informational interaction,People & Blogs,Y,2
4l7ivhvYUK0,26.48,3.59,0.6,12.77,-1.99,3.97,Informational interaction,Music,Y,2
4NPJ1IYBCfY,32.76,-3.65,-2.92,-1.86,-2.43,-0.3,Informational interaction,Gaming,Y,2
4OJ38QuOE8U,3.57,-4.68,-0.25,0.78,-0.89,1.01,Involved persuasion,Science & Technology,Y,2
4P-UpGDfdoU,4.71,-5.05,-1.37,-9.27,-3.92,9.0,Situated reportage,People & Blogs,Y,2
4P0jAJKgTmU,22.39,-5.59,-1.97,2.51,-2.37,1.66,Informational interaction,Autos & Vehicles,Y,2
4qpP2qSaFKo,28.17,-5.65,-4.1,4.15,-2.43,0.28,Informational interaction,Howto & Style,Y,2
4r6gQoNgiN8,18.21,-5.98,-1.88,5.08,-2.29,0.43,Informational interaction,Science & Technology,Y,2
4rD1sxe8L4c,24.83,1.72,4.03,9.5,-2.06,6.58,Informational interaction,Music,Y,2
4sdHE9G0DFI,2.22,-4.44,0.98,-0.59,-0.95,-0.71,Involved persuasion,Autos & Vehicles,Y,2
4Teat5ySnEA,27.94,-5.68,-1.42,1.4,-2.39,-0.12,Informational interaction,Education,Y,2
4TudzHqztPg,30.5,-3.97,-2.75,2.77,-0.2,3.22,Informational interaction,Education,Y,2
4VdLrIdw-FI,0.52,2.35,-2.78,4.14,8.08,1.22,Involved persuasion,Entertainment,Y,2
4VI82KzZYSI,26.01,-2.58,-2.38,5.46,-3.0,-0.64,Informational interaction,Gaming,Y,2
4W6yudcMVfE,20.14,-4.15,-1.59,-0.43,-2.46,-0.99,Informational interaction,Sports,Y,2
